no;district;year;lnavgsalary_cpi;oncycle;lnenrollment;lnt1_cpi;teachers_avg_yrs_exper;ami_pc;asian_pc;black_pc;hisp_pc
1;4800001;2003;10.63609314;0;6.142037392;18.23454094;13.02000046;0;0;0.06666667;0.651612878
2;4800001;2004;10.60806274;0;6.098074436;18.18721962;12.07999992;0;0;0.049438201;0.665168524
3;4800001;2005;10.58919239;0;6.133398056;18.13391876;13.35999966;0.004338395;0;0.041214749;0.685466349
4;4800001;2006;10.61233521;0;6.118097305;18.09026909;13.07999992;0.004405286;0;0.048458152;0.729074895
5;4800001;2007;10.60015774;0;6.025866032;18.03372002;12.22000027;0.004830918;0;0.033816423;0.700483084
6;4800001;2008;10.5829668;0;6.018593311;18.01626587;11.30000019;0.00486618;0.00486618;0.03892944;0.669099748
7;4800001;2009;10.61871529;0;6.052089214;18.17817497;10.89000034;0.004705882;0;0.039999999;0.661176443
8;4800002;2003;10.63299465;0;5.683579922;18.59695435;14.43999958;0.00340136;0;0.040816326;0.363945574
9;4800002;2004;10.61225224;0;5.659482002;18.66220284;13.68999958;0.003484321;0;0.031358887;0.393728226
10;4800002;2005;10.6019659;0;5.613128185;18.80572128;14.69999981;0.003649635;0;0.025547445;0.364963502
11;4800002;2006;10.66143227;0;5.648974419;18.96366882;15.35999966;0.01056338;0;0.017605634;0.42957747
12;4800002;2007;10.65324879;0;5.676753998;19.14317131;15.40999985;0.006849315;0;0.020547945;0.421232879
13;4800002;2008;10.66466713;0;5.676753998;19.312006;16.06999969;0.006849315;0;0.020547945;0.431506842
14;4800002;2009;10.7107048;0;5.736572266;19.59488869;17.95999908;0.006451613;0;0.022580646;0.467741936
15;4800003;2003;10.6668272;0;5.888877869;19.2688427;14.07999992;0;0.008310249;0.013850415;0.767313004
16;4800003;2004;10.57910538;0;5.897153854;19.14221382;11.61999989;0;0;0.013736264;0.758241773
17;4800003;2005;10.56086731;0;5.826000214;19.28523636;12.85999966;0;0;0.020648967;0.784660757
18;4800003;2006;10.6402216;0;5.828945637;19.29763222;12.5;0;0;0.014705882;0.788235307
19;4800003;2007;10.61760712;0;5.837730408;19.55532837;12.94999981;0;0;0.023323616;0.784256577
20;4800003;2008;10.65497398;0;5.817111015;19.51417542;14.94999981;0.005952381;0;0.020833334;0.773809552
21;4800003;2009;10.67115211;0;5.697093487;19.56760979;14.31000042;0;0;0.006711409;0.775167763
22;4800005;2003;10.60205936;0;4.934473991;18.60721016;11.38000011;0;0;0;0.143884897
23;4800005;2004;10.52223682;0;4.88280201;18.50443268;9.210000038;0;0;0;0.234848484
24;4800005;2005;10.48214912;0;4.88280201;18.7207489;10.06000042;0;0.015151516;0;0.181818187
25;4800005;2006;10.61764336;0;4.941642284;18.95900917;10.42000008;0.007142857;0;0;0.200000003
26;4800005;2007;10.61379242;0;5.056245804;19.32641792;11.25;0;0;0;0.152866244
27;4800005;2008;10.64623451;0;5.056245804;20.55630302;10.72999954;0;0;0;0.146496817
28;4800005;2009;10.67718315;0;5.09986639;20.61185265;12.22999954;0.012195121;0;0;0.152439028
29;4800006;2003;10.63446045;0;5.463831902;18.63591003;12.25;0;0;0.055084746;0.156779662
30;4800006;2004;10.63447762;0;5.438079357;18.45049286;14.77000046;0;0;0.069565214;0.178260863
31;4800006;2005;10.66408539;0;5.493061543;18.50276756;16.92000008;0;0;0.053497944;0.168724284
32;4800006;2006;10.68756485;0;5.488937855;18.71809387;15.36999989;0.004132231;0;0.05785124;0.169421494
33;4800006;2007;10.67121506;0;5.56068182;18.85176468;16.10000038;0.007692308;0;0.065384619;0.203846157
34;4800006;2008;10.6471138;0;5.442417622;18.85480881;16.20999908;0.008658009;0;0.051948052;0.251082242
35;4800006;2009;10.61493778;0;5.472270489;19.0279026;15.78999996;0.008403362;0.008403362;0.054621849;0.256302536
36;4800007;2003;10.64158916;0;5.267858028;17.88749886;14.18999958;0;0;0.005154639;0.14948453
37;4800007;2004;10.60164642;0;5.267858028;17.88901901;13.64999962;0;0;0.005154639;0.14948453
38;4800007;2005;10.54605198;0;5.267858028;17.90963554;11.71000004;0;0;0.005154639;0.175257728
39;4800007;2006;10.53174686;0;5.010635376;17.97946739;9.449999809;0;0;0;0.173333332
40;4800007;2007;10.59263706;1;5.049856186;18.03672028;11.94999981;0;0;0;0.211538464
41;4800007;2008;10.64000511;1;5.105945587;18.03339577;14.55000019;0;0;0;0.187878788
42;4800007;2009;10.67053318;1;5.117993832;18.21995544;15.31999969;0;0;0.011976048;0.227544904
43;4800008;2003;10.70192432;0;8.095599174;21.09036636;12.30000019;0.005487805;0.005182927;0.006707317;0.11585366
44;4800008;2004;10.70293427;0;8.137980461;21.14408493;12.02000046;0.004967855;0.006721216;0.006721216;0.124196373
45;4800008;2005;10.70683384;0;8.178077698;21.18616104;12.68000031;0.003930376;0.007018529;0.00729927;0.128860191
46;4800008;2006;10.7498045;0;8.233768463;21.23903275;11.85999966;0.004248539;0.011949018;0.006903877;0.128518328
47;4800008;2007;10.76649857;0;8.299782753;21.33895874;11.52999973;0.003728561;0.015411384;0.007954263;0.139945313
48;4800008;2008;10.76401138;0;8.328692436;21.47620392;11.60000038;0.004588264;0.016179666;0.009659503;0.14537552
49;4800008;2009;10.77998447;0;8.373553276;21.61169052;11.28999996;0.005079658;0.019625952;0.010851997;0.145232052
50;4800009;2003;10.75840187;0;7.539027214;20.68348694;14.27000046;0.005851064;0.00212766;0.010106383;0.097340427
51;4800009;2004;10.69606876;0;7.568379402;20.73379898;13.35999966;0.006198347;0.004132231;0.008780992;0.108471073
52;4800009;2005;10.70547771;0;7.577121735;20.76634026;13.73999977;0.00921659;0.00563236;0.010752688;0.117767535
53;4800009;2006;10.76760674;0;7.57301712;20.810215;13.25;0.009768638;0.004627249;0.009254498;0.125964016
54;4800009;2007;10.77193737;0;7.567862511;20.88367462;13.65999985;0.009819121;0.005684754;0.00878553;0.138501287
55;4800009;2008;10.78954601;0;7.591357231;20.96943474;15.27000046;0.009591116;0.005552751;0.005047956;0.160524994
56;4800009;2009;10.80742741;0;7.602401257;21.03726387;15.68999958;0.011482776;0.005991013;0.005991013;0.166250631
57;4800010;2003;10.69484329;0;9.110740662;21.36316681;10.27999973;0.001767565;0.005523641;0.042752981;0.523972631
58;4800010;2004;10.67344475;0;9.189831734;21.46359825;9.909999847;0.001633153;0.00643054;0.041441258;0.539348781
59;4800010;2005;10.65515137;0;9.270023346;21.54863548;9.529999733;0.001884126;0.006971267;0.04390014;0.544700921
60;4800010;2006;10.68032742;0;9.384881973;21.63140678;9.130000114;0.0031914;0.007054674;0.044091709;0.554127812
61;4800010;2007;10.68122578;0;9.476313591;21.74629021;8.890000343;0.003142485;0.008431057;0.048823483;0.563884437
62;4800010;2008;10.66492367;0;9.538276672;21.8783989;8.739999771;0.002737555;0.008572869;0.046034146;0.571932852
63;4800010;2009;10.68642616;0;9.5921278;21.98755455;8.819999695;0.002935354;0.007918629;0.043415934;0.575534165
64;4800011;2003;10.68733883;0;8.142354012;20.18763542;10.18000031;0.00407332;0.001745709;0.041024148;0.187081754
65;4800011;2004;10.68313599;0;8.156223297;20.26490593;9.729999542;0.00286944;0.001721664;0.038737446;0.207747489
66;4800011;2005;10.67054272;0;8.125631332;20.27188873;10.14999962;0.00295858;0.002662722;0.042603549;0.217455626
67;4800011;2006;10.74492741;0;8.113725662;20.29736137;10.30000019;0.002994012;0.002095808;0.040718563;0.231437132
68;4800011;2007;10.71792889;0;8.104099274;20.41844559;10.44999981;0.00241838;0.003325272;0.037484884;0.240628779
69;4800011;2008;10.7244997;0;8.09346199;20.61610794;10.72000027;0.003055301;0.004277421;0.039718911;0.241674304
70;4800011;2009;10.72288322;0;8.132119179;21.15669441;10.72999954;0.005878895;0.002645503;0.037918869;0.254556149
71;4800012;2003;10.62338734;0;6.793466091;20.20869827;13.19999981;0.017937221;0.004484305;0.057174888;0.020179372
72;4800012;2004;10.59965897;0;6.763885021;20.15204811;13.56999969;0.017321017;0.009237875;0.056581985;0.030023094
73;4800012;2005;10.59237289;0;6.794586658;20.12817574;14.26000023;0.014557671;0.006718925;0.053751402;0.026875701
